operator,fold,best_epoch,best_val_rmse_checkpoint,selected_rule_execution_mode,selected_rule_threshold_mode,selected_rule_rule_name,selected_rule_long_quantile,selected_rule_short_quantile,selected_rule_abs_quantile,selected_rule_long_threshold,selected_rule_short_threshold,selected_rule_abs_threshold,val_rmse,val_mae,val_ic,val_dir_auc,val_trade_auc,val_sign_accuracy,val_long_precision,val_short_precision,val_coverage,val_long_coverage,val_short_coverage,val_gross_pnl,val_net_pnl,val_pnl_per_trade,val_n_trades,val_trade_rate,val_sharpe_like,val_long_trades,val_short_trades,val_long_net_pnl,val_short_net_pnl,val_win_rate,val_applied_rule_execution_mode,val_applied_rule_threshold_mode,val_applied_rule_rule_name,val_applied_rule_long_quantile,val_applied_rule_short_quantile,val_applied_rule_abs_quantile,val_applied_rule_long_threshold,val_applied_rule_short_threshold,val_applied_rule_abs_threshold,val_applied_rule_resolved_long_threshold,val_applied_rule_resolved_short_threshold,val_applied_rule_resolved_abs_threshold,val_applied_rule_classification_consistent,val_bench_zero_rmse,val_bench_zero_mae,val_bench_zero_ic,val_bench_last_rmse,val_bench_last_mae,val_bench_last_ic,test_rmse,test_mae,test_ic,test_dir_auc,test_trade_auc,test_sign_accuracy,test_long_precision,test_short_precision,test_coverage,test_long_coverage,test_short_coverage,test_gross_pnl,test_net_pnl,test_pnl_per_trade,test_n_trades,test_trade_rate,test_sharpe_like,test_long_trades,test_short_trades,test_long_net_pnl,test_short_net_pnl,test_win_rate,test_applied_rule_execution_mode,test_applied_rule_threshold_mode,test_applied_rule_rule_name,test_applied_rule_long_quantile,test_applied_rule_short_quantile,test_applied_rule_abs_quantile,test_applied_rule_long_threshold,test_applied_rule_short_threshold,test_applied_rule_abs_threshold,test_applied_rule_resolved_long_threshold,test_applied_rule_resolved_short_threshold,test_applied_rule_resolved_abs_threshold,test_applied_rule_classification_consistent,test_bench_zero_rmse,test_bench_zero_mae,test_bench_zero_ic,test_bench_last_rmse,test_bench_last_mae,test_bench_last_ic
rel_conv,1,11,0.0017396914770493115,long_only,quantile,long_only_quantile,0.1,,,,,,0.0017396914770493115,0.0012872541662044352,0.002273719110148687,0.5013829807228463,0.4907112182266312,0.5263157894736842,0.5263157894736842,,0.08392226148409894,0.08392226148409894,0.0,0.02613256066433678,0.013132560664336775,0.0002020393948359504,65,0.05742049469964664,1.1229167905087325,65,0,0.013132560664336775,0.0,0.5076923076923077,long_only,quantile,long_only_quantile,0.1,,,,,,0.000833681970834732,,,True,0.0016904485931684761,0.0012387686475295039,,0.004040494889104952,0.003025311181587255,0.020124131314259604,0.00199599601201043,0.0014431123983327722,0.06650107417519663,0.5118573304978734,0.4961668321747766,0.5625,0.5625,,0.08480565371024736,0.08480565371024736,0.0,0.017883452388559817,0.004883452388559816,7.51300367470741e-05,65,0.05742049469964664,0.3452743620251183,65,0,0.004883452388559816,0.0,0.46153846153846156,long_only,quantile,long_only_quantile,0.1,,,,,,0.000812288373708725,,,True,0.0019542737580488453,0.0013918056462172365,,0.004863096771474114,0.003493319735676045,-0.016096759159559007
rel_conv,2,6,0.0021948298792134288,long_only,absolute,long_only_absolute,,,,0.001,,,0.0021948298792134288,0.0016389600118817285,-0.030397556863327808,0.4806902051538654,0.513501489572989,,,,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0,0,0.0,0.0,,long_only,absolute,long_only_absolute,,,,0.001,,,0.001,,,True,0.0019542737580488453,0.0013918056462172365,,0.004863096771474114,0.003493319735676045,-0.016096759159559007,0.0027321755823572773,0.0021137777670404085,-0.08952145851785263,0.49464128104904803,0.44205854261475364,,,,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0,0,0.0,0.0,,long_only,absolute,long_only_absolute,,,,0.001,,,0.001,,,True,0.002377391323537289,0.001807210865624012,,0.005621852661036213,0.004223719785761097,0.006680107511315072
rel_conv,3,13,0.0023626663632731744,long_only,quantile,long_only_quantile,0.2,,,,,,0.0023626663632731744,0.0018028087125677454,0.052100797629558146,0.49388790820829653,0.4669588179111186,0.5644444444444444,0.5644444444444444,,0.19876325088339222,0.19876325088339222,0.0,0.05518333012605581,0.031583330126055804,0.0002676553400513204,118,0.10424028268551237,1.2554979155702528,118,0,0.031583330126055804,0.0,0.5254237288135594,long_only,quantile,long_only_quantile,0.2,,,,,,0.00041063262615352873,,,True,0.002377391323537289,0.001807210865624012,,0.005621852661036213,0.004223719785761097,0.006680107511315072,0.0033772218601502255,0.0023808323460693167,-0.028834747360934294,0.4950636643040833,0.5320441347270615,0.5309734513274337,0.5309734513274337,,0.19964664310954064,0.19964664310954064,0.0,0.010398448051091691,-0.012601551948908317,-0.00010957871259920276,115,0.10159010600706714,-0.35198340314539406,115,0,-0.012601551948908317,0.0,0.4956521739130435,long_only,quantile,long_only_quantile,0.2,,,,,,0.0004392791772261262,,,True,0.003360973706303816,0.0023748159875954,,0.008122188112554897,0.005687526109042702,-0.018536456826582705
rel_conv,4,14,0.0033588890458401536,long_only,quantile,long_only_quantile,0.3,,,,,,0.0033588890458401536,0.002374080002738411,0.03460640124981765,0.5134745656400929,0.5023635307781649,0.5722543352601156,0.5722543352601156,,0.15282685512367492,0.15282685512367492,0.0,0.05252725378068135,0.03152725378068135,0.00030025955981601287,105,0.09275618374558305,0.9233346709909507,105,0,0.03152725378068135,0.0,0.5619047619047619,long_only,quantile,long_only_quantile,0.3,,,,,,0.00011163484305143356,,,True,0.003360973706303816,0.0023748159875954,,0.008122188112554897,0.005687526109042702,-0.018536456826582705,0.002790256704640504,0.00216741230186956,0.0583294843497217,0.5089732914277127,0.5365569389959635,0.5375,0.5375,,0.1413427561837456,0.1413427561837456,0.0,0.035951980091113,0.016751980091113006,0.00017449979261576048,96,0.08480565371024736,0.6450059409159689,96,0,0.016751980091113006,0.0,0.5,long_only,quantile,long_only_quantile,0.3,,,,,,0.00011798497289419174,,,True,0.002794224822441489,0.0021681790223576167,,0.006609415916780838,0.005170299803457218,0.006697427862481612
rel_conv,5,2,0.0032226398109908784,long_only,quantile,long_only_quantile,0.25,,,,,,0.0032226398109908784,0.002541582864002831,0.06977700768325758,0.5079199118479376,0.5421143896753653,0.6172839506172839,0.6172839506172839,,0.0715547703180212,0.0715547703180212,0.0,0.06075318756120396,0.050353187561203966,0.0009683305300231532,52,0.045936395759717315,2.757496864875003,52,0,0.050353187561203966,0.0,0.6153846153846154,long_only,quantile,long_only_quantile,0.25,,,,,,0.0013988278806209564,,,True,0.002794224822441489,0.0021681790223576167,,0.006609415916780838,0.005170299803457218,0.006697427862481612,0.003134239865896651,0.0024240926041008025,0.08156650510503015,0.5233278541842603,0.49517339260929005,0.5909090909090909,0.5909090909090909,,0.08702531645569621,0.08702531645569621,0.0,0.04273591621313244,0.026935916213132453,0.0003409609647231956,79,0.0625,1.0576915473310453,79,0,0.026935916213132453,0.0,0.5443037974683544,long_only,quantile,long_only_quantile,0.25,,,,,,0.0013529323041439056,,,True,0.002905249833918039,0.0021855752647597826,,0.007077630451051263,0.005227656057044603,-0.007036397228091636
