fold,best_epoch,best_selection_score,thr_trade,thr_dir,val_trade_auc,val_trade_pr_auc,val_dir_auc,val_ret_rmse,val_n_trades,val_trade_rate,val_pnl,test_trade_auc,test_trade_pr_auc,test_dir_auc,test_ret_rmse,test_n_trades,test_trade_rate,test_pnl,test_hit_rate,test_max_drawdown,test_sharpe_like
1,15,0.033589710410489935,0.7,0.7,0.536315566087787,0.21278462436620652,0.5699044956906592,0.11228487420490413,29,0.020027624309392266,0.029401556063616673,0.5808623873140002,0.2992434626256625,0.493935169048449,0.12363110084614368,36,0.024861878453038673,0.011641241570595873,0.4722222222222222,-0.029278488611356752,0.5047639230577781
2,15,0.06132240524877855,0.6,0.5,0.5814690307215878,0.2954908643213626,0.5133844545137679,0.07069444892930023,141,0.09737569060773481,0.05728667547630376,0.5808797502976477,0.2658904897631825,0.44009367681498834,0.07114068685307318,123,0.08494475138121547,-0.028301375507425806,0.43089430894308944,-0.054207646104212255,-0.7190991886471327
3,1,0.04763614093716165,0.5,0.55,0.5068320037911698,0.22640963611827014,0.5005152224824356,0.2486417800233079,157,0.10842541436464088,0.04975519742371445,0.5304153533510285,0.2579064512787916,0.538486374790133,0.25193008790673577,162,0.11187845303867404,-0.0033832093666526343,0.5,-0.03868521479757296,-0.0722965013381728
4,1,0.06105103637067032,0.6,0.5,0.5714944840743198,0.28701541720456,0.49328425674803056,0.25449814397907045,130,0.08977900552486189,0.0603570807693435,0.5176645058708416,0.2149074713653068,0.49924913261871473,0.25173753193567594,91,0.06284530386740332,-0.04732160445731265,0.4065934065934066,-0.05394295734391582,-1.8012799101410477
