operator,graph_operator,cv_mean_test_rmse,cv_mean_test_mae,cv_mean_test_ic,cv_mean_test_dir_auc,cv_mean_test_trade_auc,cv_mean_test_long_precision,cv_mean_test_short_precision,cv_mean_test_net_pnl,cv_mean_test_pnl_per_trade,cv_mean_test_sharpe_like,post_cv_holdout_rmse,post_cv_holdout_ic,post_cv_holdout_net_pnl,production_holdout_rmse,production_holdout_ic,production_holdout_long_precision,production_holdout_short_precision,production_holdout_net_pnl,production_holdout_pnl_per_trade,production_selected_rule_name,production_selected_execution_mode,production_selected_threshold_mode
edge_mpnn,edge_mpnn,0.0027315380470295603,0.0020312690863889043,0.03185891007620495,0.506391473628776,0.5236108307705581,0.5209434537846517,,-0.003704661218962283,9.141528084242163e-05,0.09627682683336744,0.0030020102679317873,0.023070349096758203,-0.007597764726786409,0.002967873613696055,-0.016241587339174912,0.5042735042735043,,0.01502549697596915,0.00021776082573868332,long_only_quantile,long_only,quantile
rel_conv,rel_conv,0.0028059780050110174,0.002105845483482572,0.01760817155023231,0.5067726842925955,0.5003999682243692,0.5554706355591311,,0.007193959348779391,0.00012025302037170686,0.4239971117816846,0.0031342398419347875,0.08156657348406822,0.026935916213132453,0.002959512872916636,-0.006720293514340289,0.50199203187251,,-0.020554815001466328,-0.00015339414180198753,long_only_quantile,long_only,quantile
rel_gatv2,rel_gatv2,0.0026898039770487177,0.0019995510234394765,0.04567026231945735,0.5095061744889235,0.48913134850406204,0.5339125844915319,,0.002041578983191865,1.4862311588381173e-05,-0.060090397498419656,0.0029216094548752724,0.06039422236310709,-0.009032036167367176,0.0029114725589680897,0.06540323370334582,0.5303430079155673,,-0.0237287055153196,-0.00015113825168993375,long_only_quantile,long_only,quantile
