operator,fold,best_epoch,best_val_rmse_checkpoint,selected_rule_long_quantile,selected_rule_long_threshold,val_rmse,val_mae,val_ic,val_dir_auc,val_trade_auc,val_sign_accuracy,val_long_precision,val_short_precision,val_coverage,val_long_coverage,val_short_coverage,val_gross_pnl,val_net_pnl,val_pnl_per_trade,val_n_trades,val_trade_rate,val_sharpe_like,val_long_trades,val_short_trades,val_long_net_pnl,val_short_net_pnl,val_win_rate,val_applied_rule_long_quantile,val_applied_rule_long_threshold,val_applied_rule_resolved_long_threshold,val_applied_rule_classification_consistent,val_bench_zero_rmse,val_bench_zero_mae,val_bench_zero_ic,val_bench_last_rmse,val_bench_last_mae,val_bench_last_ic,test_rmse,test_mae,test_ic,test_dir_auc,test_trade_auc,test_sign_accuracy,test_long_precision,test_short_precision,test_coverage,test_long_coverage,test_short_coverage,test_gross_pnl,test_net_pnl,test_pnl_per_trade,test_n_trades,test_trade_rate,test_sharpe_like,test_long_trades,test_short_trades,test_long_net_pnl,test_short_net_pnl,test_win_rate,test_applied_rule_long_quantile,test_applied_rule_long_threshold,test_applied_rule_resolved_long_threshold,test_applied_rule_classification_consistent,test_bench_zero_rmse,test_bench_zero_mae,test_bench_zero_ic,test_bench_last_rmse,test_bench_last_mae,test_bench_last_ic
edge_mpnn,3.0,7.6,0.002477235962680023,0.18333333333333335,0.00025,0.002477235962680023,0.0018418421693586699,0.027013940837325667,0.5049948779921892,0.4892474150685315,0.5676422074986646,0.5676422074986646,,0.12579505300353358,0.12579505300353358,0.0,0.03298576777719973,0.017385767777199728,0.00015942303025893962,78.0,0.06890459363957598,0.6727237119540552,78.0,0.0,0.017385767777199728,0.0,0.5186611616479075,0.18333333333333335,0.00025,0.0005419520497322083,1.0,0.0024354624406999832,0.0017961560338647538,,0.005851409670190202,0.004320035323104863,-0.00022630985961708488,0.0027315380470295603,0.0020312690863889043,0.03185891007620495,0.506391473628776,0.5236108307705581,0.5209434537846517,0.5209434537846517,,0.11424553831014894,0.11424553831014894,0.0,0.010135338781037718,-0.003704661218962283,9.141528084242163e-05,69.2,0.05847385606297804,0.09627682683336744,69.2,0.0,-0.003704661218962283,0.0,0.474493119266055,0.18333333333333335,0.00025,0.0005559126496315003,1.0,0.0026784226888498957,0.0019855173573108094,,0.006458836782579465,0.004760504298196333,-0.005658415568087332
rel_conv,3.0,9.2,0.002575743315273389,0.21250000000000002,0.001,0.002575743315273389,0.0019289371514790304,0.025672073761890853,0.49947111431460767,0.5031298892328537,0.570074629948882,0.570074629948882,,0.10141342756183744,0.10141342756183744,0.0,0.03891926642645558,0.02531926642645558,0.00043457120618160924,68.0,0.060070671378091876,1.5148115604862347,68.0,0.0,0.02531926642645558,0.0,0.552601353448811,0.21250000000000002,0.001,0.0007509554641321302,1.0,0.0024354624406999832,0.0017961560338647538,,0.005851409670190202,0.004320035323104863,-0.00022630985961708488,0.0028059780050110174,0.002105845483482572,0.01760817155023231,0.5067726842925955,0.5003999682243692,0.5554706355591311,0.5554706355591311,,0.10256407389184596,0.10256407389184596,0.0,0.02139395934877939,0.007193959348779391,0.00012025302037170686,71.0,0.061263250883392226,0.4239971117816846,71.0,0.0,0.007193959348779391,0.0,0.5003736082299648,0.21250000000000002,0.001,0.0007444969655945896,1.0,0.0026784226888498957,0.0019855173573108094,,0.006458836782579465,0.004760504298196333,-0.005658415568087332
rel_gatv2,3.0,11.8,0.002445614621297919,0.16999999999999998,,0.002445614621297919,0.0018166362215292502,0.06102173622117061,0.511026564246816,0.496714031361967,0.5730233174350822,0.5730233174350822,,0.10176678445229684,0.10176678445229684,0.0,0.0381806531418988,0.026220653141898802,0.0003963443313484211,59.8,0.05282685512367491,1.0444733664076846,59.8,0.0,0.026220653141898802,0.0,0.5255754475703325,0.16999999999999998,,0.00046355729922652243,1.0,0.0024354624406999832,0.0017961560338647538,,0.005851409670190202,0.004320035323104863,-0.00022630985961708488,0.0026898039770487177,0.0019995510234394765,0.04567026231945735,0.5095061744889235,0.48913134850406204,0.5339125844915319,0.5339125844915319,,0.10020463389542425,0.10020463389542425,0.0,0.013481578983191866,0.002041578983191865,1.4862311588381173e-05,57.2,0.04883258039987476,-0.060090397498419656,57.2,0.0,0.002041578983191865,0.0,0.4845024473152694,0.16999999999999998,,0.0004911799356341363,1.0,0.0026784226888498957,0.0019855173573108094,,0.006458836782579465,0.004760504298196333,-0.005658415568087332
