operator,cv_mean_test_rmse,cv_mean_test_ic,cv_mean_test_net_pnl,post_cv_holdout_rmse,post_cv_holdout_ic,post_cv_holdout_net_pnl,production_holdout_rmse,production_holdout_ic,production_holdout_net_pnl
rel_conv,0.0025739551981426084,0.028897388181371525,0.002545303068949818,0.002918516792947658,0.002080916988523797,-0.06972868375147373,0.0029178172629584385,-0.05870078902122729,-0.058264610487546456
edge_mpnn,0.002618191526936093,0.03468909322400419,0.008092005397452641,0.0029911300703134246,0.024869873237185758,-0.023432533985052576,0.0029252074811274855,0.032680400625529835,0.008048395545227682
rel_gatv2,0.0029665118282227007,-0.00716218708273423,-0.02869088801912537,0.002959516969426008,-0.0463692016322907,-0.03305490647474726,0.0029764827959447814,-0.06834450345479089,-0.07490413634274885
