operator,graph_operator,cv_mean_test_rmse,cv_mean_test_mae,cv_mean_test_ic,cv_mean_test_dir_auc,cv_mean_test_trade_auc,cv_mean_test_net_pnl,cv_mean_test_sharpe_like,post_cv_holdout_rmse,post_cv_holdout_ic,post_cv_holdout_net_pnl,production_holdout_rmse,production_holdout_ic,production_holdout_net_pnl
rel_conv,rel_conv,0.0025739551981426084,0.0018694176555074371,0.028897388181371525,0.5141761573922702,0.5092880670995061,0.002545303068949818,0.1646179850923432,0.002918516792947658,0.002080916988523797,-0.06972868375147373,0.0029178172629584385,-0.05870078902122729,-0.058264610487546456
edge_mpnn,edge_mpnn,0.002618191526936093,0.001910688577619896,0.03468909322400419,0.5086388571383685,0.5262836399451863,0.008092005397452641,0.36796254843051995,0.0029911300703134246,0.024869873237185758,-0.023432533985052576,0.0029252074811274855,0.032680400625529835,0.008048395545227682
rel_gatv2,rel_gatv2,0.0029665118282227007,0.0022067379459261185,-0.00716218708273423,0.49594165804044615,0.5111823047726811,-0.02869088801912537,-0.8898594094297563,0.002959516969426008,-0.0463692016322907,-0.03305490647474726,0.0029764827959447814,-0.06834450345479089,-0.07490413634274885
