fold,best_epoch,checkpoint_score,thr_trade,thr_dir,val_loss,val_trade_auc,val_trade_pr_auc,val_dir_auc,val_ret_rmse,val_n_trades,val_trade_rate,val_pnl,test_trade_auc,test_trade_pr_auc,test_dir_auc,test_ret_rmse,test_ret_mae,test_price_rmse,test_n_trades,test_trade_rate,test_hit_rate,test_pnl,test_max_drawdown,test_sharpe_like
1,5,-1.7460733126429582,0.5,0.65,1.7474576748151522,0.5433609330989243,0.22775185492966382,0.5589159465828751,0.2786231016827722,41,0.03555941023417172,-0.0014827669744228579,0.5882135532165204,0.23628692634006512,0.5998822605965464,0.30005530900528554,0.23782242834568024,723.3732611867817,44,0.03816131830008673,0.5227272727272727,0.005376315137070312,-0.005374551045360286,0.3702046205967407
2,1,-1.6722532022576668,0.5,0.65,1.669005647081969,0.5493587312002133,0.2149003629768672,0.5321969696969697,0.30186195181453623,61,0.05290546400693842,0.0034788814308875362,0.5022772459338022,0.21997224875039723,0.508766169807604,0.2873256284134486,0.22936879098415375,697.3502527424795,55,0.047701647875108416,0.45454545454545453,-0.018137942473715238,-0.024465096750693034,-1.040008086655882
3,2,-1.7718572725366972,0.5,0.65,1.7618686103965548,0.49291544598603354,0.21927501222703594,0.4746413563251703,0.23089199481172357,39,0.033824804856895055,0.00018877932283892273,0.5584847962787491,0.26532803603637467,0.5225187406296851,0.2506421900916094,0.19652625918388367,601.1111326119322,54,0.046834345186470075,0.42592592592592593,0.0016371234872643273,-0.01425862694664163,0.08434724531815803
4,3,-1.7898464407351107,0.55,0.6,1.7846290508974973,0.551597760875568,0.26565979142461865,0.4861095426312818,0.3425959483504737,79,0.06851691240242845,0.018994815615141845,0.6170548203165371,0.2970379236984818,0.4938933200398803,0.3790595344307948,0.30063626170158386,1065.8262053449428,58,0.05030355594102342,0.43103448275862066,-0.021503824417608765,-0.02729227767435451,-0.7028944074775152
