fold,best_epoch,best_val_rmse_checkpoint,selected_signal_threshold,val_rmse,val_mae,val_ic,val_dir_auc,val_trade_auc,val_sign_accuracy,val_long_precision,val_short_precision,val_coverage,val_gross_pnl,val_net_pnl,val_pnl_per_trade,val_n_trades,val_trade_rate,val_sharpe_like,val_bench_zero_rmse,val_bench_last_rmse,test_rmse,test_mae,test_ic,test_dir_auc,test_trade_auc,test_sign_accuracy,test_long_precision,test_short_precision,test_coverage,test_gross_pnl,test_net_pnl,test_pnl_per_trade,test_n_trades,test_trade_rate,test_sharpe_like,test_bench_zero_rmse,test_bench_last_rmse
1,13,0.0018669474967708188,0.0012697655707597732,0.0018669474967708188,0.0014370006927374212,0.07362014458587818,0.5189059646987219,0.5033348874556428,0.5348837209302325,0.5348837209302325,,0.050058207217694994,0.0009968400445359293,-0.0062031599554640705,-0.00017230999876289085,36,0.04190919674039581,-0.6644970083073907,0.0016444478420916194,0.003925619584134531,0.003191561614388009,0.0015903660144688627,-0.0062063212991693515,0.4838789682539682,0.43951998470070763,0.5833333333333334,0.574468085106383,1.0,0.05587892898719441,0.0012034874280288932,-0.0059965125719711075,-0.0001665697936658641,36,0.04190919674039581,-0.9180484768347053,0.0030773983219055437,0.007661276958253016
2,9,0.003166881494637539,0.0006584376096725464,0.003166881494637539,0.0015191553903129988,-0.0008510035700914704,0.5155967139327708,0.46631765155861543,0.5627906976744186,0.5620608899297423,0.6666666666666666,0.5005820721769499,0.02011244006916968,-0.008487559930830326,-5.935356594986242e-05,143,0.16647264260768335,-0.21161066396502295,0.0030770442944853976,0.007654081778068169,0.00207576404359017,0.0015763120682471047,0.05258332016890536,0.5240932869306367,0.48600618131868134,0.5696465696465697,0.569937369519833,0.5,0.559953434225844,0.043583331123045355,0.014583331123045351,0.00010057469740031277,145,0.16880093131548313,0.6528225885099295,0.0020004052383141005,0.004677512837178997
3,15,0.001992746105183452,0.0002,0.001992746105183452,0.0014807134616349326,0.0171741399729341,0.5188433407786975,0.5612635338132759,0.5737179487179487,0.59375,0.48214285714285715,0.36321303841676367,0.04688946045598641,0.02208946045598641,0.00017814081012892266,124,0.14435389988358557,1.0470521284709553,0.001996834653741794,0.004679117296519417,0.004257651711026112,0.00267328472124938,0.059365420568632046,0.4916133746483826,0.4885275423728813,0.5358090185676393,0.5454545454545454,0.2857142857142857,0.43888242142025613,0.0694102027318877,0.0438102027318877,0.0003422672088428727,128,0.1490104772991851,0.8663808091757864,0.004277465078471492,0.010755478407249075
