fold,best_epoch,checkpoint_score,thr_trade,thr_dir,val_loss,val_trade_auc,val_trade_pr_auc,val_dir_auc,val_ret_rmse,val_n_trades,val_trade_rate,val_pnl,test_trade_auc,test_trade_pr_auc,test_dir_auc,test_ret_rmse,test_ret_mae,test_price_rmse,test_n_trades,test_trade_rate,test_hit_rate,test_pnl,test_max_drawdown,test_sharpe_like
1,8,-1.7416918957035104,0.65,0.55,1.7479654256923243,0.5680778464621259,0.23851455519652248,0.45915161036920654,0.2043867172592038,33,0.028620988725065046,0.00894045204437733,0.5495726228774297,0.19698039137949425,0.5264913657770801,0.20335177453896275,0.16511417925357819,434.55187046542557,29,0.02515177797051171,0.5172413793103449,0.010588640075401752,-0.005094393097370964,0.9733196551919678
2,3,-1.6604733667992913,0.5,0.55,1.6654739690054425,0.5592827631457541,0.20773871765358903,0.522064393939394,0.24806947680249578,122,0.10581092801387684,0.017331701062244877,0.5196981773273891,0.23359127340955557,0.5143476262394115,0.2585475442409355,0.20229186117649078,521.5935618371838,119,0.10320901994796183,0.4117647058823529,-0.043805583586561184,-0.05532984998715421,-2.0627260869670483
3,2,-1.7507974989216886,0.55,0.6,1.7442685997393064,0.47373463784939107,0.1959996288132696,0.5072453267642371,0.21486192973120755,20,0.017346053772766695,-0.004988590362839059,0.5533680764923766,0.28390245352247717,0.4940929535232384,0.21041896452136916,0.17132510244846344,529.6122107259235,12,0.010407632263660017,0.6666666666666666,0.008766027748373043,-0.0050944778845695374,1.0538656799874753
4,7,-1.759555802134404,0.5,0.5,1.7738785071674885,0.5708135652785099,0.286342619097398,0.4808018068887634,0.17082243182902102,156,0.13529921942758022,0.022827488900546675,0.6151322992301157,0.2965940265932633,0.5124626121635094,0.15881785123577596,0.12487029284238815,403.37476758592624,141,0.1222896790980052,0.48936170212765956,-0.009076159944029093,-0.03720373629658896,-0.20349369380227417
